wallet,role,token_outcome_norm,notional_usd,trade_count
0x211e247d8e7f68b78fdace32249ac16c8fd335dd,maker,NO,905.0912,1
0x2120ea0323fcf5446233056467fdb852b4b12647,maker,NO,4526.57096,4
0x2120ea0323fcf5446233056467fdb852b4b12647,taker,NO,2605.75245,1
0x21f446c3c5532f1ebfacbd82a190a75fcffd81a6,taker,NO,1838.5264,1
0x21ffd2b7a212a6f277ed3eca1a9f8efcbca90d71,maker,NO,1429.5,2
0x2200b75c27835935a40308779b5656c09ab40f2d,maker,YES,555.13755,1
0x2200b75c27835935a40308779b5656c09ab40f2d,taker,NO,7552.93478,6
0x2252cc57cfa8516f46331a15839b4eee17aed4f5,taker,NO,1502.141067,2
0x22fb120e8d4807423bf078c0605f717f056822bf,maker,YES,551.0049,1
0x23424dfa86cc17c1aa4917268091ee8214d71928,maker,YES,11583.6616,3
0x241ff966f22080fbee3928e194763e575847e15a,maker,NO,1506.40466,1
0x241ff966f22080fbee3928e194763e575847e15a,taker,NO,701.2845,1
0x24787691ebc296444add2ee3dea03c9d6f9b2e62,maker,NO,802.0,1
0x24787691ebc296444add2ee3dea03c9d6f9b2e62,taker,NO,1768.0,1
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,maker,NO,11500.53121,9
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,maker,YES,578.7053,1
0x24c8cf69a0e0a17eee21f69d29752bfa32e823e1,taker,NO,3847.6377,2
0x25257a6a89dba93dd0c536b6279365632a4eb919,maker,NO,8832.459200000001,5
0x262a3567bf704af315da9193c1e0d47eedc3c25b,maker,NO,579.89844,1
0x2681519cd18ac27f318147087e805d2444164d07,taker,NO,1304.094047,2
0x26b46988d027c6c03cfa12a7c0c6d778be49b8a9,maker,YES,1754.192,1
0x26b46988d027c6c03cfa12a7c0c6d778be49b8a9,taker,NO,8212.808,1
0x26e9b971ee46632f9da9d700a048aa1941244a51,taker,NO,980.1378,1
0x2707f2e693b3d20b5a17b603c532571108140afa,maker,YES,1191.0,2
0x27716229514c757b5e8c87dc5d5d1a1cc5c7d030,maker,YES,3542.842549,3
0x27716229514c757b5e8c87dc5d5d1a1cc5c7d030,taker,NO,2110.43232,1
0x27716229514c757b5e8c87dc5d5d1a1cc5c7d030,taker,YES,1854.8107889999999,3
0x277948f6c939469a3f15501b5800e7fc8d4a4635,maker,NO,999.999999,1
0x27f3f0bc31cb7b9d19e10acd03b80619d28f2884,taker,NO,1558.3211999999999,2
0x29abf7a025ffd8f904a06b193ef963bc9788a640,maker,YES,2000.4999990000001,2
0x29abf7a025ffd8f904a06b193ef963bc9788a640,taker,YES,1889.9999990000001,2
0x29b64e4e5050c76f15d9205698218986ba2ff061,maker,NO,608.40015,1
0x2a3de264d3b8dfebc500c100691c7a41869a2068,maker,NO,6886.66568,1
0x2a3de264d3b8dfebc500c100691c7a41869a2068,taker,YES,2366.7144,3
0x2b2631f3388134832575d4f025554af0e965b3f6,maker,NO,530.299999,1
0x2b78fe66d05bd18cd3300379dd34282fe35e3771,maker,YES,1616.959998,2
0x2b78fe66d05bd18cd3300379dd34282fe35e3771,taker,NO,941.25,1
0x2b78fe66d05bd18cd3300379dd34282fe35e3771,taker,YES,621.249999,1
0x2baa8f678812de02aad60ccfaaf61f24442e647a,maker,YES,3902.553779,2
0x2baa8f678812de02aad60ccfaaf61f24442e647a,taker,NO,2502.5461,3
0x2c1967ffcb5e4ea6fd221a8a5341db3f36b1e3c6,maker,YES,1100.70599,1
0x2d1b894074fa4c26f5afc0b8b7405a35c758f055,maker,YES,790.73884,1
0x2d1b894074fa4c26f5afc0b8b7405a35c758f055,taker,NO,4549.0116,4
0x2d99e29c4f066ba32098c65e4c7454b277d94ca3,maker,NO,4752.27654,6
0x2ece9aea1e1522edf10a58af0254408a098eacf2,maker,YES,999.999999,1
0x2ece9aea1e1522edf10a58af0254408a098eacf2,taker,NO,570.0,1
0x2fabe7fa90aebdf1b94cf6bdb33fe9e43117ea04,maker,NO,1782.319994,1
0x3057de5efc5fce194b0b034f08ad0beea9e77a96,maker,NO,1488.2091599999999,2
0x30be3916c0ee0d31dd27b4bfd1fb2f3c3c4b4e33,maker,NO,3599.999999,1
0x30be3916c0ee0d31dd27b4bfd1fb2f3c3c4b4e33,taker,NO,1815.233099,1
0x31066f47066bbd30f8f79f10cb92995380cc23a8,maker,NO,573.0,1
0x310df55cec35129862d4e26caa0fa300873fad67,maker,NO,1999.999996,2
0x310df55cec35129862d4e26caa0fa300873fad67,taker,NO,1699.413658,2
0x313d9cda3c21210d9f1ee5ab824b4418909dd2cf,taker,NO,535.02672,1
